date,circulating_supply_at_that_date,block_timestamp_at_that_date,total_claimed_that_day
06/05/2024,50482.10353029874,1715023019,50482.10353029874
08/05/2024,50542.13226751732,1715169623,60.02873721858201
08/05/2024,50545.03922054502,1715169623,62.93569024628267
08/05/2024,50549.66848951574,1715169623,67.56495921700215
08/05/2024,50595.386761195936,1715169635,113.28323089719973
08/05/2024,50602.75215258264,1715169635,120.64862228390321
08/05/2024,51150.12623953357,1715169635,668.0227092348359
08/05/2024,51376.96372466172,1715169635,894.8601943629844
08/05/2024,51567.113344702884,1715169635,1085.0098144041467
08/05/2024,51582.613418477245,1715169635,1100.5098881785111
08/05/2024,51588.95438305054,1715169635,1106.8508527518075
08/05/2024,51590.416898270596,1715169635,1108.3133679718617
08/05/2024,51595.08261835871,1715169635,1112.9790880599749
08/05/2024,51642.97322195772,1715169635,1160.8696916589793
08/05/2024,51894.935341147946,1715169635,1412.831810849204
08/05/2024,51896.85269002506,1715169635,1414.7491597263192
08/05/2024,51916.947883324516,1715169635,1434.8443530257769
08/05/2024,51922.43723357555,1715169635,1440.3337032768118
08/05/2024,52539.07231900854,1715169635,2056.968788709809
08/05/2024,52678.09070119697,1715169647,2195.9871708982378
08/05/2024,52701.7325373072,1715169647,2219.6290070084697
08/05/2024,52705.62474198554,1715169647,2223.521211686808
08/05/2024,53700.03929479666,1715169647,3217.935764497923
08/05/2024,53705.05735974894,1715169647,3222.9538294502063
08/05/2024,53709.711772755436,1715169647,3227.6082424567026
08/05/2024,53839.141939155874,1715169647,3357.038408857138
08/05/2024,53867.35472287819,1715169647,3385.251192579454
08/05/2024,54116.99596458476,1715169659,3634.892434286024
08/05/2024,54419.08825020982,1715169659,3936.9847199110786
08/05/2024,54468.957782849066,1715169659,3986.8542525503285
08/05/2024,54475.89554901011,1715169659,3993.7920187113677
08/05/2024,54520.44071389041,1715169659,4038.3371835916723
08/05/2024,54524.693239630935,1715169659,4042.5897093321914
08/05/2024,54529.49640487125,1715169659,4047.392874572507
08/05/2024,54757.73527264723,1715169659,4275.63174234849
08/05/2024,54768.89198038199,1715169659,4286.78845008325
08/05/2024,54894.00885933474,1715169671,4411.905329036003
08/05/2024,54896.24270520605,1715169671,4414.139174907316
08/05/2024,54909.77695672937,1715169671,4427.673426430638
08/05/2024,55048.79571112132,1715169671,4566.692180822587
08/05/2024,55049.371352438364,1715169671,4567.2678221396345
08/05/2024,55080.914814978125,1715169671,4598.811284679393
08/05/2024,55100.02548026983,1715169671,4617.921949971098
08/05/2024,55108.10049760862,1715169671,4625.996967309887
08/05/2024,55108.10231937361,1715169671,4625.998789074879
08/05/2024,55136.9412564111,1715169671,4654.837726112362
08/05/2024,55183.36106897284,1715169671,4701.2575386741
08/05/2024,55230.88633733943,1715169671,4748.782807040689
08/05/2024,55401.20771471859,1715169671,4919.1041844198535
08/05/2024,55518.17624689155,1715169683,5036.07271659281
08/05/2024,55657.19518738526,1715169683,5175.091657086519
08/05/2024,56193.97357840036,1715169683,5711.870048101618
08/05/2024,56223.73059875556,1715169683,5741.627068456816
08/05/2024,56323.57154015343,1715169683,5841.4680098546905
08/05/2024,56329.87692304024,1715169683,5847.773392741497
08/05/2024,56646.68923995382,1715169683,6164.585709655075
08/05/2024,56815.11355675777,1715169683,6333.01002645903
08/05/2024,56818.30359451372,1715169683,6336.200064214983
08/05/2024,56823.26838517542,1715169683,6341.164854876682
08/05/2024,56856.87185295048,1715169683,6374.7683226517365
08/05/2024,56857.51001702036,1715169683,6375.406486721615
08/05/2024,58664.42228238274,1715169683,8182.318752083991
08/05/2024,58670.747059839385,1715169683,8188.643529540642
08/05/2024,58671.897673420775,1715169683,8189.794143122034
08/05/2024,58673.12379722584,1715169683,8191.020266927097
08/05/2024,58674.81470707408,1715169683,8192.711176775343
08/05/2024,58774.206320417754,1715169683,8292.102790119015
08/05/2024,58931.78110666626,1715169683,8449.677576367525
08/05/2024,58932.370704998466,1715169683,8450.267174699726
08/05/2024,59092.12633257604,1715169683,8610.022802277297
08/05/2024,59092.5537366565,1715169683,8610.450206357758
08/05/2024,59092.994876950535,1715169683,8610.891346651799
08/05/2024,59184.525348239345,1715169683,8702.421817940605
08/05/2024,59218.92840779765,1715169683,8736.82487749891
08/05/2024,59234.1109609053,1715169683,8752.007430606565
08/05/2024,59234.61241630887,1715169683,8752.508886010135
08/05/2024,59261.463189962466,1715169683,8779.35965966373
08/05/2024,59277.3165614115,1715169683,8795.213031112766
08/05/2024,62227.85567299542,1715169683,11745.752142696689
08/05/2024,62263.35447050874,1715169683,11781.250940210008
08/05/2024,62393.26450008588,1715169683,11911.160969787146
08/05/2024,62428.53011040116,1715169683,11946.426580102421
08/05/2024,62460.749491736286,1715169683,11978.645961437544
08/05/2024,62465.10719161495,1715169683,11983.00366131621
08/05/2024,62524.588129343116,1715169683,12042.484599044372
08/05/2024,62531.25629963056,1715169683,12049.152769331813
08/05/2024,62687.98443819976,1715169683,12205.880907901013
08/05/2024,62713.32930525823,1715169683,12231.225774959481
08/05/2024,62730.07354162477,1715169683,12247.970011326024
08/05/2024,62882.99478559172,1715169707,12400.891255292976
08/05/2024,63008.11216701922,1715169707,12526.008636720482
08/05/2024,63097.20427908757,1715169707,12615.100748788831
08/05/2024,63111.05244089687,1715169707,12628.948910598134
08/05/2024,63165.59146555417,1715169707,12683.487935255436
08/05/2024,63286.87182658029,1715169707,12804.768296281558
08/05/2024,63374.067333770654,1715169707,12891.963803471926
08/05/2024,63452.50313721886,1715169707,12970.39960692013
